"city","county","state","population","total_penjualan","penjualan_per_kapita"
"Bevington","Madison","Iowa",23,"1347108.900000013","58569.9521739136"
"Cedar Rapids","Linn","Iowa",2089,"71574824.49999693","34262.72115844755"
"Sioux City","Woodbury","Iowa",816,"24341982.699999824","29830.86115196057"
"Des Moines","Polk","Iowa",11377,"301683532.45000184","26516.966902522796"
"Arnolds Park","Dickinson","Iowa",1022,"23280621.749999743","22779.47333659466"
"Saint Lucas","Fayette","Iowa",118,"2440229.14999998","20679.908050847287"
"Mount Vernon","Linn","Iowa",6023,"78373153.49999368","13012.311721732307"
"Davenport","Scott","Iowa",15521,"186609503.70000106","12023.033548096197"
"Des Moines","Polk","Iowa",22687,"248768352.60001057","10965.237915987595"
"Bancroft","Kossuth","Iowa",1120,"9790820.650000203","8741.804151785896"
"Coralville","Johnson","Iowa",20909,"172221768.0500095","8236.729066431177"
"Templeton","Carroll","Iowa",462,"3782329.8000000003","8186.861038961039"
"Des Moines","Polk","Iowa",15738,"125955395.80000125","8003.265713559616"
"Floyd","Floyd","Iowa",718,"4973190.149999972","6926.448676880184"
"West Des Moines","Polk","Iowa",29636,"195333416.1500122","6591.08571163491"
"Spirit Lake","Dickinson","Iowa",8312,"52880751.75000322","6361.976870789607"
"Waterloo","Black Hawk","Iowa",19446,"123387852.34999603","6345.153365730537"
"Des Moines","Polk","Iowa",8698,"54955543.90000369","6318.18163945777"
"Milford","Dickinson","Iowa",4509,"26894219.700000625","5964.564138390026"
"Ames","Story","Iowa",34165,"203061194.09999478","5943.544390457918"
"Iowa City","Johnson","Iowa",36402,"204084013.30001724","5606.395618373091"
"Council Bluffs","Pottawattamie","Iowa",35426,"186240698.05001107","5257.175465759924"
"Ankeny","Polk","Iowa",28306,"148000368.59999704","5228.586469299691"
"Cedar Rapids","Linn","Iowa",8033,"41846223.550003536","5209.289624051231"
"Waterloo","Black Hawk","Iowa",19306,"100513628.15000373","5206.341456024227"
"De Witt","Clinton","Iowa",7541,"38640178.65000233","5124.012551386067"
"West Burlington","Des Moines","Iowa",4163,"21067071.649998404","5060.550480422388"
"Cedar Rapids","Linn","Iowa",41531,"210038248.09998834","5057.384799306262"
"Sioux City","Woodbury","Iowa",5084,"23804687.799999144","4682.275334382208"
